測定局コード,測定局名
33203020,津山
33204010,日比
33204020,向日比１丁目
33204030,渋川
33204040,宇野
33204050,日比２丁目
33204060,向日比２丁目
33204070,後閑
33204090,用吉
33205010,寺間
33205020,茂平
33205510,大磯
33207510,井原
33208010,総社
33209010,高梁
33210010,新見
33211050,東片上
33211060,三石
33211520,伊部
33213020,熊山
33215010,美作
33342010,日生
33423010,早島
33423510,長津
33441010,船穂
33442010,金光
33444010,寄島
33503010,真備
33584510,久世
33681010,吉備高原
34102020,福木小学校
34104510,庚午
34105010,安佐南区役所
34105020,伴小学校
34105510,古市小学校
34201010,三篠小学校
34201020,皆実小学校
34201250,井口小学校
34201260,可部小学校
34201510,紙屋町
34201520,比治山
34202010,明立小学校
34202020,宮原小学校
34202040,白岳小学校
34202050,鍋山団地
34202510,西畑町
34203010,竹原高校
34204150,三原宮浦公園
34204520,三原宮沖町
34205010,尾道東高校
34207020,南小学校
34207040,培遠中学校
34207060,向丘中学校
34207090,曙小学校
34207310,駅家北小学校
34207320,松永小学校
34207510,福山市役所
34208050,府中市教育センター
34209020,三次市十日市町
34211200,大竹油見公園
34212030,東広島西条小学校
34304010,海田高校
34322030,廿日市桂公園
34369010,北広島町
34408010,河内入野
34427010,大崎小学校
34501010,神辺支所
35201010,小月局
35201020,長府局
35201030,彦島局
35201040,山の田局
35201250,豊浦局
35202020,宇部総合庁舎
35202030,岬児童公園
35202360,厚南市民センター
35203010,環境保健センター
35204010,萩健康福祉センター
35205010,周南総合庁舎
35205030,櫛浜小学校
35205040,徳山商工高校
35205520,三田川交差点
35206010,防府高校
35206050,中関小学校
35207030,豊井小学校
35207090,下松市役所
35208010,麻里布小学校
35208030,愛宕小学校
35209010,須恵健康公園
35209020,竜王中学校
35210020,浅江中学校
35210040,光高校
35211010,長門土木建築事務所
35212010,柳井市役所
35213010,美祢さくら公園
35213020,美祢青嶺高校
35214010,浦山送水場
35214020,宮の前児童公園
35321010,和木コミュニティセンター
36201010,川内
36201030,応神
36201080,徳島
36201110,多家良
36201510,自排徳島
36202010,鳴門
36203010,小松島
36204010,阿南
36204020,大潟
36204030,山口
36204040,椿
36204050,大野
36204060,宝田
36204070,橘
36204080,福井
36205010,吉野川
36342010,神山
36361010,那賀川
36362010,羽ノ浦
36363010,鷲敷
36381010,由岐
36401010,松茂
36402010,北島
36403010,藍住
36461010,脇町
36483010,池田
37201010,高松競輪場
37201080,国分寺
37201090,東部運動公園
37201100,南消防署香川分署
37201510,栗林公園前
37201540,高松市役所
37201550,鶴尾コミュニティセンター
37202010,丸亀市役所
37202030,城坤小学校
37202070,青の山
37203010,坂出市役所
37203020,瀬居島
37203040,相模坊神社
37203050,林田出張所
37204010,善通寺市役所
37205010,観音寺市役所
37206010,東讃保健福祉事務所
37322010,小豆総合事務所
37364010,直島町役場
37386010,宇多津町役場
38201020,富久町
38201030,和気
38201080,味生
38201090,垣生小学校
38201510,本町消防
38201530,朝生田
38202100,今治旭
38203010,宇和島
38204010,八幡浜
38205010,金子
38205060,中村
38205080,高津
38205090,泉川
38205100,多喜浜
38206050,西条
38208030,川之江
38209030,寒川
38209050,伊予三島
38212040,東予
38302020,土居
38323010,丹原
38380010,久万高原
38401010,松前
38421010,大屋
39201350,介良
39201360,南新田町
39201530,朝倉
39203010,安芸
39204070,稲生
39206020,旧須崎高等学校
39206080,押岡公園
39210010,中村
39212010,土佐山田
39381030,伊野合同庁舎
39405950,国設檮原酸性雨
40101010,門司局
40101020,松ヶ江局
40101510,門司港自排局
40103010,若松局
40103120,江川局
40103130,若松ひびき局
40105010,戸畑局
40106010,北九州局
40106020,小倉局
40106510,三萩野自排局
40107020,曽根局
40107040,企救丘局
40108010,八幡局
40108510,西本町自排局
40109010,黒崎局
40109030,塔野局
40109510,黒崎自排局
40131010,東
40131030,香椎
40132010,吉塚
40132520,比恵
40132530,千鳥橋
40133020,春吉
40133510,天神
40134010,南
40134510,大橋
40135020,長尾
40135060,元岡
40135510,西新
40135520,別府橋
40135530,石丸
40135540,今宿
40137010,祖原
40202010,国設大牟田
40202050,七浦
40202060,新地
40202080,橘
40203060,えーるピア久留米
40203070,三潴中学校
40203100,城南中学校
40203110,田主丸中学校
40204010,直方
40205010,飯塚
40206010,田川
40210010,八女
40214010,豊前
40216010,筑後小郡
40220010,宗像
40221010,太宰府
40222010,糸島
40223510,古賀
40228010,朝倉
40342010,篠栗
40563010,柳川
40621010,苅田
41201030,佐賀
41201040,三瀬
41201540,兵庫
41202060,竹木場
41202160,肥前
41202200,唐津
41203010,鳥栖
41203050,曽根崎
41204010,多久
41205080,大坪
41205090,山代
41206010,武雄
41207010,鹿島
41209010,嬉野
41210010,神埼
41341010,基山
41401020,西有田
41425010,白石
42201030,稲佐小学校
42201280,小ケ倉支所
42201300,東長崎支所
42201510,長崎駅前
42201530,長崎市役所
42201540,中央橋
42202020,相浦
42202030,大野
42202140,早岐
42202160,大塔
42202510,日宇
42202520,福石
42203010,島原大気測定局
42204060,諫早
42205010,大村大気測定局
42208040,松浦志佐大気測定局
42209010,対馬大気測定局
42209950,国設対馬酸性雨
42210010,壱岐
42211010,五島
42211950,国設五島酸性雨
42213010,小浜大気測定局
42308040,時津小学校大気測定局
42309010,村松
42314020,雪浦大気測定局
42322060,川棚大気測定局
42392020,吉井
43201140,楡木
43201150,京町
43201160,北区役所
43201170,秋津
43201180,中島
43201190,城南町
43201510,水道町自排局
43201520,神水本町自排局
43202020,八代東高校
43202030,八代八千把出張所
43202520,八代自排局
43203011,人吉保健所
43204200,荒尾運動公園
43205030,水俣丸島
43205160,水俣保健所
43206020,有明保健所
43207010,天草保健所
43208010,山鹿保健福祉センター局
43210010,菊池市役所
43211050,宇土運動公園
43212010,上天草市合津
43214011,阿蘇保健所
43215010,天草市宮地岳地区
43215020,天草市新和町地区
43215030,天草市河浦町地区
43215040,天草市天草町下田地区
43403010,大津町引水
43443010,益城町保健福祉センター
43444010,甲佐町岩下
43481010,小田浦公民館
43530010,五和手野
43531010,苓北志岐
43531020,苓北町坂瀬川地区
43531030,苓北町都呂々地区
43531040,苓北町木場地区
43532010,天草高浜
44201010,敷戸小学校測定局
44201050,南大分中学校
44201070,三佐小学校
44201080,大在小学校
44201090,坂ノ市中学校
44201100,戸次中学校
44201130,東大分小学校
44201340,丹生小学校
44201350,西部清掃事業所
44201360,大東中学校
44201370,王子中学校
44201510,中央測定局
44201520,宮崎測定局
44202020,青山中学校
44203070,中津総合庁舎
44204010,西部振興局
44205020,南部振興局
44206010,臼杵市役所
44207010,津久見市役所
44212010,豊肥保健所
44213010,中部保健所由布保健部
44214010,国東高等学校
44341020,日出町鷹匠
44381010,佐賀関
45201040,佐土原
45201050,祇園
45201060,田野
45201520,南宮崎自排局
45201530,生目小学校自排局
45201540,大宮小学校自動車排出ガス測定局
45202020,都城高専
45202510,都城自排局
45203020,延岡商業高校
45203090,延岡青朋高校
45203100,延岡保健所
45203520,新延岡自排局
45204010,日南保健所
45204030,油津小学校
45205010,小林保健所
45206020,大王谷小学校
45206030,日向市立図書館
45206080,細島公民館
45401010,高鍋町健康づくりセンター
45403010,西米良村健康増進広場
45441010,高千穂保健所
46201010,鹿児島市役所
46201130,谷山支所
46201220,有村
46201260,黒神
46201270,環境保健センター
46201520,鴨池
46202050,隈之城
46202520,薩摩川内
46203010,鹿屋
46205010,羽島
46208010,出水
46212010,霧島
46220010,南さつま
46225010,奄美
46302010,桜島支所
46302020,赤水
46321010,喜入
46466010,志布志
46482010,東串良
47201140,那覇
47201580,松尾
47206020,平良
47207020,石垣
47208510,牧港
47209080,名護
47210060,糸満
47211050,沖縄
47301950,国設辺戸岬酸性雨
47322010,与那城
47329010,西原
